Transcript Length	0_min_RNA_hydrolysis_rep_1-dedup.bed	0_min_RNA_hydrolysis_rep_2-dedup.bed	10_min_30C_RNA_hydrolysis_rep_1-dedup.bed	10_min_30C_RNA_hydrolysis_rep_2-dedup.bed	10_min_37C_RNA_hydrolysis_rep_1-dedup.bed	10_min_37C_RNA_hydrolysis_rep_2-dedup.bed	1_min_30C_RNA_hydrolysis_rep_1-dedup.bed	1_min_30C_RNA_hydrolysis_rep_2-dedup.bed	20_min_ice_RNA_hydrolysis_rep_1-dedup.bed	20_min_ice_RNA_hydrolysis_rep_2-dedup.bed	3_min_30C_RNA_hydrolysis_rep_1-dedup.bed	3_min_30C_RNA_hydrolysis_rep_2-dedup.bed
260	8531	14819	16288	13565	373	372	9708	21004	31748	21390	7948	5548
261	8340	13649	16494	13271	350	366	9244	20245	30886	21123	7641	5212
262	8490	13785	16392	13347	385	346	9168	20580	31497	21968	7758	5347
263	8276	19185	16661	13360	352	402	9176	21257	32282	22690	7879	5376
264	8117	19717	16212	13352	379	360	9047	20299	30520	21760	7836	5318
265	8961	16417	17092	13177	369	345	8993	20239	30165	23049	8215	5158
266	10101	15495	17779	13904	373	328	9208	20775	30035	21754	8302	5223
267	16165	27080	23535	18283	532	424	10297	24836	30975	24769	10102	6712
268	10491	15379	18103	13668	421	318	8791	19573	27569	21191	7779	5085
269	15356	20467	22001	17260	562	407	9778	22973	28195	22383	9402	6740
270	8532	11671	15590	12148	326	323	8218	17694	24823	19128	7002	4656
271	7629	11330	14533	11505	327	284	7962	16893	23899	17967	6739	4557
272	7167	12128	13794	11150	327	292	7865	16731	23273	18559	6744	4598
273	6995	20517	13642	11245	323	317	7729	16605	23120	17364	6383	4591
274	6358	20553	12742	10368	335	294	7304	15639	21160	16066	5961	4198
275	5838	16474	12808	10485	266	311	7134	15435	20556	16144	5900	4261
276	6218	13735	12615	10435	301	294	7208	15691	20992	15788	6039	4325
277	6170	13011	12903	10432	266	271	7409	16040	21286	16158	5937	4269
278	6889	11775	13966	11351	341	294	7629	17016	22973	17523	6334	4359
279	8041	13980	16385	12165	305	263	7640	18122	23916	18298	6706	4512
280	7915	11442	16282	12225	322	319	7738	18773	24368	17898	6600	4531
281	10323	13282	18828	13465	377	324	7881	20182	25029	18295	7070	4858
282	6848	10788	13659	10913	337	273	7116	17227	22529	17251	6043	4255
283	6184	9310	13479	10625	294	328	7001	16451	21150	16956	6067	4145
284	5966	9164	12489	10206	290	301	6728	16540	20932	16404	5642	4022
285	5488	10134	12265	10136	280	255	6685	16376	21619	16867	5447	3877
286	5471	9428	12583	9797	301	280	6518	16364	21296	17136	5619	3762
287	5340	10224	12021	10193	294	289	6616	16815	23038	18638	5826	4063
288	5568	9201	12101	9868	291	291	6561	15973	23296	17750	5684	3842
289	5162	9770	12276	9841	272	252	6501	16549	23938	18791	5588	3749
290	5586	10465	11952	9567	315	258	6285	15710	22131	17360	5212	3735
291	5693	11153	11760	8949	312	290	6092	14189	19777	16146	5149	3739
292	5156	10283	10796	8761	290	273	5660	13852	18984	16009	4808	3437
293	6159	10571	11729	8916	307	293	5689	14023	19245	16106	5129	3515
294	6477	11566	11588	8736	277	267	5488	13620	18724	15608	4944	3400
295	6289	9974	11848	8574	292	297	5322	13240	18169	15750	4911	3373
296	6588	12104	11655	8474	566	384	5418	13022	17581	15061	4848	3398
297	9761	15235	14482	10037	594	392	5809	15154	19027	16674	5779	3968
298	34523	47816	38840	28740	2234	949	13556	38559	33453	30218	18206	13341
299	34859	50552	40727	29249	2122	881	13280	40839	34703	31089	18335	13463
300	28960	38689	33941	23604	1444	639	10388	32259	26963	24301	13792	10107
301	8917	17221	13825	9515	358	276	5267	13902	16615	14451	5465	3771
302	6772	14597	12073	8357	306	259	4993	12262	15968	13924	4760	3268
303	6356	16576	12082	8379	273	295	5051	12511	16584	15143	4536	3105
304	6123	15538	12118	8297	285	306	4805	12580	16900	14602	4872	3145
305	5848	14315	11855	8380	281	265	4941	12050	18176	14823	4631	3121
306	5590	13672	11018	8132	298	257	4807	11934	16962	14290	4589	3068
307	5936	14538	12008	8162	321	306	4938	12425	18317	15392	4633	3106
308	6405	14275	11996	8704	323	307	5175	12809	18313	14892	4684	3256
309	5703	11296	10895	8131	331	306	5086	12369	17408	14356	4581	3143
310	5826	14079	11856	8773	322	294	5229	12699	18494	15455	4775	3183
311	5979	11012	12114	8535	310	346	5294	12962	18473	15136	4771	3281
312	7970	11179	14669	9579	362	366	5642	14192	19507	15596	5468	3411
313	8854	12108	16482	10465	395	405	5674	15002	20516	16770	5826	3469
314	10926	11581	19298	11518	420	400	6141	16393	22862	18502	6614	3645
315	13325	13354	22289	12882	470	469	6467	17749	24018	19613	7388	3951
316	9212	11940	16948	11116	481	441	5913	16386	22249	17853	6192	3749
317	10991	12244	18540	11844	502	453	6067	16836	21427	17757	6510	3875
318	17098	16685	26734	15255	561	514	6901	20532	23509	19227	8167	4487
319	13610	13463	21591	13254	525	560	6579	18111	22138	17924	7532	4226
320	8883	12767	16714	10883	539	542	6044	15509	20185	16990	6218	3521
321	10847	12690	19136	12350	620	598	6533	16478	21375	17359	7112	3814
322	9351	11017	16699	10718	505	527	5911	14987	19906	16357	6369	3552
323	7989	9146	15575	10312	555	548	5641	14944	19323	16334	5764	3420
324	8634	10011	15399	10687	524	584	5825	15102	19601	16408	6106	3635
325	6738	7601	12424	8957	503	527	5389	13736	17129	14553	4965	3402
326	8134	9729	13863	9709	526	587	5345	14248	17658	14989	5462	3436
327	8488	9861	14516	10110	540	575	5422	14443	18339	15632	5648	3497
328	8220	12050	14063	10340	589	621	5367	14079	17622	15333	5297	3585
329	10805	15205	17270	12303	600	650	5625	16791	18883	16770	5990	4199
330	13437	17383	20107	14369	758	642	6065	18427	20605	18285	6912	4597
331	9727	12127	15599	10762	651	615	5045	14237	17150	15904	5792	3511
332	7136	14348	13077	9418	585	640	4861	13094	16200	14181	5087	3195
333	7553	12798	13744	9523	535	567	5023	13097	16719	14716	5361	3183
334	6549	10603	11988	8457	575	581	4576	11847	13874	12238	4757	3050
335	6334	12546	11386	8322	523	595	4620	11753	14006	12115	4574	2977
336	5936	10058	10962	8211	542	643	4789	11956	14165	12366	4459	2935
337	4825	8682	8736	7266	487	597	4432	11192	12557	10620	4059	2863
338	6235	11552	10731	8447	534	607	4643	12272	13999	11853	4476	3173
339	5795	9709	10265	8042	520	580	4610	12077	13398	11577	4308	2930
340	11042	15221	17188	11798	765	563	5635	16902	16123	14115	6398	4557
341	5910	9414	10369	7916	557	578	4456	12110	13018	11289	4387	3135
342	5641	8673	9851	7807	524	555	4487	11534	12504	10829	4123	3003
343	4795	7286	8720	7178	522	533	4314	11194	12322	10198	3956	2829
344	5127	7178	8751	7177	470	497	4298	10510	11936	10438	4054	2670
345	5030	6905	8653	7072	464	544	4286	10475	12551	10769	3812	2662
346	4639	6728	8155	6681	417	507	3974	10542	12348	10468	3632	2623
347	4386	7167	8179	6898	435	478	4196	10292	12779	10531	3759	2648
348	3855	6402	7477	6436	408	436	3916	10313	12176	10418	3452	2603
349	4392	7078	8277	6849	487	484	3966	10520	12636	10574	3637	2601
350	5398	8976	9656	7339	412	421	4133	10609	12783	10876	3799	2562
351	5411	10616	9380	7363	421	442	4077	10404	12136	10132	4049	2762
352	6077	11374	10885	7905	422	468	4199	11205	13234	10973	4148	2765
353	7147	15169	12091	8583	443	424	4373	11832	13556	11800	4395	2894
354	6730	17065	11671	8602	378	421	4231	11843	13648	11718	4377	2917
355	6537	12742	11307	8280	387	398	4175	11742	13017	11608	4307	2698
356	7196	14790	11955	8998	441	416	4221	12164	13233	11469	4387	2904
357	7546	17113	12592	8956	390	387	4247	12336	13069	11521	4302	2925
358	7253	17878	12329	8877	347	339	4035	12069	12967	11726	4459	2795
359	7383	14464	12776	8874	399	358	3982	11817	13085	11655	4282	2859
360	8416	19479	14059	9449	345	359	4425	12776	13668	12834	4641	2922
361	8683	14601	14202	9131	353	352	4126	12507	13553	12900	4946	2931
362	7958	12924	12087	8436	348	319	4056	11771	12485	11016	4171	2734
363	5640	12273	9455	7276	318	302	3989	10759	11836	10619	3803	2460
364	5038	11779	8494	6746	300	278	3792	10420	11569	10465	3638	2557
365	4432	9406	7924	6349	285	301	3687	9662	10746	9514	3429	2405
366	4955	8467	8188	6799	293	273	3656	9919	10896	9659	3638	2340
367	5273	8762	8899	6922	310	303	3679	10157	10930	9944	3791	2535
368	6086	9151	9720	7188	294	263	4032	10098	11215	9924	4227	2564
369	6400	10947	10304	7554	263	286	4137	10558	11492	10380	4708	2537
370	7826	11849	11525	8407	294	310	4564	10968	11645	10595	5241	2734
371	9261	16253	13249	9362	308	318	4925	12024	12406	11297	5991	2776
372	7425	14624	11763	8275	290	289	4165	10688	11219	10209	5092	2692
373	8727	14234	12935	9188	310	272	4385	11250	11356	10317	5314	2723
374	10418	17307	15006	10399	347	282	4827	12405	12035	11439	6405	3106
375	9933	13902	14148	9421	338	273	4513	11307	10539	10192	5989	2863
376	10022	13558	14491	9589	323	233	4444	10985	10630	10931	5884	2805
377	12140	18317	16958	11301	333	299	5016	12729	12119	12261	7089	3110
378	10882	18396	15974	10601	359	286	4332	12140	11825	11534	6410	3029
379	9760	15611	14546	9914	354	271	4257	11695	11286	10659	5570	2808
380	11232	18915	16613	11277	352	310	4733	13041	12942	12325	6168	3193
381	8359	15237	13021	8646	329	271	3624	11298	11383	10848	4714	2555
382	7052	12591	11445	7967	260	236	3441	10217	10424	9928	4058	2461
383	7330	10981	11649	7920	284	226	3596	10716	10451	10437	4189	2463
384	5795	5540	9036	6292	283	225	3181	9092	9539	8686	3589	2186
385	5278	5687	8585	6261	255	211	3187	9166	9352	8812	3332	2151
386	5292	6089	8809	6373	288	217	3078	9312	9760	9273	3452	2145
387	5419	6222	8622	6254	283	225	3083	9131	9377	9038	3385	2081
388	5121	5648	8408	6177	248	224	3051	8891	8779	8397	3321	2047
389	5377	6310	8657	5884	250	211	2895	8662	8617	8587	3326	1993
390	5121	6404	8479	5714	223	251	2824	8136	8182	8103	3060	1917
391	5795	6450	9561	5970	231	213	2785	8362	7962	8086	3373	1906
392	7461	5946	10940	6823	279	216	3109	8659	7907	8149	3734	2124
393	7153	6325	10921	6360	271	214	3079	8458	8359	8183	3707	1954
394	8048	4887	11489	6706	226	215	3181	8389	8584	8321	4021	2071
395	9176	6017	12746	7317	238	229	3486	9272	9369	9233	4459	2098
396	6713	5301	10237	6335	215	219	2907	8504	8317	8513	3616	2001
397	6334	4259	9316	6039	229	213	2792	8127	7713	7854	3502	1896
398	7299	4665	10633	6624	236	238	3126	8800	8537	8545	3918	1959
399	8668	5193	12455	7233	244	214	3400	9535	9467	9335	4208	2153
400	7200	5111	10831	6583	204	183	3036	8924	8639	8757	3768	1956
401	8581	6035	12428	7536	251	225	3313	9579	10018	10149	4179	2162
402	7277	4949	11077	6969	246	200	3229	9175	9684	9685	3968	2006
403	6502	4815	10087	6351	228	218	3154	8887	9356	9290	3782	1943
404	7058	4973	10945	6830	230	208	3006	9265	9323	9569	3820	1920
405	4611	3632	7541	5351	223	185	2574	7927	8063	8034	2931	1872
406	4035	3716	6959	5200	171	182	2546	7776	7543	7608	3014	1720
407	3837	4130	6784	5011	212	209	2487	7378	7272	7449	2632	1708
408	3829	4226	6801	5046	208	196	2451	7623	7436	7409	2718	1636
409	3828	4793	7389	5291	182	192	2437	7567	7356	7372	2807	1741
410	4405	4947	7464	5171	206	217	2510	7561	7190	7095	2937	1729
411	4594	8617	7918	5319	207	181	2422	7760	7183	7082	2873	1769
412	4747	6201	7890	5373	196	181	2557	7608	7106	6936	2948	1727
413	4345	8554	7733	5205	174	180	2391	7506	7064	6908	2832	1658
414	4298	8401	7149	5260	202	157	2377	7396	7111	7253	2873	1681
415	4048	6005	6953	5031	173	195	2356	7509	7262	7081	2719	1658
416	3477	6793	6099	4600	162	162	2261	6803	6734	6638	2304	1641
417	4086	8069	6878	5015	193	163	2206	7331	6831	6903	2486	1643
418	4164	9553	6728	4908	192	159	2170	7288	6617	6741	2491	1516
419	5630	8856	7698	5394	200	191	2429	7883	6700	6737	2975	1788
420	5039	10294	7807	5285	207	158	2231	7230	6466	6567	2719	1627
421	5152	9479	8122	5288	187	156	2279	7173	6413	6545	2684	1651
422	5700	7595	8933	5768	219	181	2388	7796	6707	6694	2864	1848
423	5303	6773	8648	5475	202	173	2169	7790	6971	6949	2850	1664
424	4540	4001	7255	4886	183	152	2042	6775	5631	5825	2486	1579
425	4450	3664	6849	4577	171	153	2019	6331	5366	5265	2318	1524
426	4665	4751	7508	4839	228	161	2154	6437	5227	5587	2428	1601
427	4296	3347	7080	4755	207	181	1962	6577	5324	5308	2351	1566
428	4952	4289	8616	5375	169	174	2171	7223	5908	5831	2684	1618
429	4268	3280	7565	4826	207	184	2014	6769	5643	5626	2439	1456
430	3804	3249	6636	4644	194	162	1945	6658	5879	5494	2225	1476
431	3771	3523	6434	4559	188	173	2077	6755	5989	5599	2400	1544
432	2712	2514	4991	3939	191	180	1893	6233	5733	5592	1956	1325
433	2451	2731	4673	3712	170	161	1928	6059	5539	5523	1998	1354
434	2267	2271	4074	3640	164	157	1814	6032	5520	5394	1832	1340
435	2543	2053	4368	3817	165	162	1931	6058	5802	5590	1911	1394
436	2986	2263	4874	3992	207	142	1876	6343	5784	5675	2061	1446
437	2900	2672	4897	3856	185	162	1905	5987	5492	5772	2060	1334
438	3350	2298	5240	4163	190	156	1917	6237	5788	5767	2231	1424
439	3296	2349	5272	4187	165	149	1949	6114	5501	5824	2196	1483
440	3451	2802	5080	4040	176	167	1807	5976	5181	5469	2008	1397
441	3121	3077	4817	3817	175	155	1721	5582	4929	5091	1930	1297
442	3327	3150	4698	3666	185	135	1614	5369	4571	5011	1930	1253
443	3103	2857	4719	3595	164	167	1507	5183	4080	4583	1810	1280
444	3256	3042	4775	3698	162	151	1564	4980	3999	4297	1872	1194
445	3576	2731	5072	3699	187	166	1607	5126	4147	4460	1800	1147
446	3190	2609	4540	3585	166	157	1489	4822	3903	4256	1752	1203
447	3279	2776	4507	3375	153	138	1520	4928	3900	4202	1754	1196
448	3248	3471	4724	3329	133	145	1465	4873	3821	4235	1719	1122
449	2979	3211	4127	3349	155	139	1425	4784	3569	4010	1663	1151
450	3200	4123	4409	3375	142	151	1475	5003	3806	3997	1769	1132
451	3304	5141	4602	3629	157	119	1601	5033	4149	4305	1848	1257
452	3268	5512	4912	3742	161	155	1683	5148	4367	4597	2012	1245
453	3709	5435	5493	4094	146	148	1811	5598	4530	4701	2118	1345
454	4052	7611	5418	4112	173	147	1719	5641	4415	4560	2171	1435
455	4742	9272	6381	4743	185	150	1868	6268	4949	5078	2470	1484
456	4431	7362	6006	4395	171	171	1915	6147	4956	5058	2294	1412
457	4548	9498	6011	4660	194	145	1888	6174	4945	4805	2171	1405
458	4685	9751	6193	4679	155	157	1845	6187	5097	4812	2336	1479
459	4848	10173	6502	4916	172	148	2060	6551	5188	5138	2417	1491
460	4510	8081	6308	4521	156	154	1860	6103	5024	4763	2251	1431
461	4444	8009	6362	4610	146	161	1886	5969	4782	4633	2316	1443
462	4841	7459	6618	4805	187	139	1907	6309	4842	4650	2474	1431
463	5076	6371	6968	4630	175	173	1826	6458	4754	4953	2449	1586
464	4174	5555	5911	4202	180	163	1737	5703	4756	4447	2343	1342
465	3672	3818	5050	3687	149	148	1572	5138	4603	4544	2053	1272
466	2999	3242	4069	3322	147	132	1541	4828	4094	4027	1751	1092
467	2923	3143	4224	3318	147	150	1419	4574	3754	3646	1735	1110
468	3063	3046	4280	3323	148	142	1438	4725	3844	3942	1750	1043
469	2442	1694	3541	2603	128	137	1308	3967	3093	3177	1544	931
470	2646	1760	3758	2753	127	149	1283	3929	3163	3222	1564	856
471	2425	2093	3426	2643	126	137	1214	3666	2998	3043	1425	873
472	2122	1730	3013	2353	144	150	1141	3439	2807	2707	1273	846
473	2071	1512	3016	2323	128	131	1034	3421	2574	2680	1306	732
474	1903	1219	2693	1995	118	119	961	3130	2205	2302	1131	704
475	1801	1252	2519	2113	125	138	861	2975	2186	2239	997	673
476	1764	1280	2446	1918	147	104	815	2729	1871	2065	968	688
477	1720	1140	2282	1833	133	122	783	2430	1659	1600	949	623
478	1953	1354	2698	1869	136	133	827	2771	1863	1897	1033	682
479	2098	1874	2659	1939	133	142	780	2653	1878	1824	984	673
480	1731	1541	2284	1662	111	111	715	2380	1583	1659	895	611
481	1909	1619	2409	1809	133	135	691	2399	1535	1573	934	556
482	1982	1727	2496	1744	130	142	751	2393	1695	1722	926	557
483	1621	1499	2090	1515	143	134	565	1991	1366	1357	799	532
484	1506	1124	1867	1440	117	156	538	1863	1191	1225	699	471
485	1409	1331	1807	1265	122	129	514	1649	1108	1179	760	416
486	1304	1383	1611	1136	108	143	449	1572	1062	1114	685	390
487	1089	1013	1334	983	107	131	405	1343	931	902	497	351
488	1081	1327	1298	1015	156	136	410	1398	1007	870	513	397
489	710	790	971	697	109	128	311	849	710	652	367	249
490	553	566	783	561	88	111	235	811	608	590	324	264
491	461	461	695	587	104	122	249	706	606	539	265	220
492	342	384	477	405	104	143	167	517	439	412	205	166
493	264	328	387	314	89	137	145	481	347	359	206	175
494	291	334	372	358	94	134	176	447	348	353	172	133
495	237	240	320	273	101	112	137	338	329	300	170	146
496	168	233	267	243	111	134	120	300	252	276	144	119
497	176	274	246	217	105	117	127	258	203	242	138	121
498	309	841	389	333	198	147	157	560	593	230	218	221
499	135	172	203	170	89	139	101	235	221	184	109	107
500	119	153	161	169	112	131	96	233	213	157	123	103
501	115	135	153	156	86	132	93	191	174	145	109	106
502	97	152	164	153	97	117	73	155	160	163	99	95
503	80	136	119	144	89	127	78	140	134	123	99	97
504	75	182	123	139	110	114	77	134	162	146	71	86
505	61	188	127	142	88	113	81	154	142	139	92	87
506	60	98	117	135	89	125	79	116	135	122	76	74
507	73	109	104	138	97	134	68	127	118	102	57	66
508	69	140	101	115	109	123	54	105	106	96	96	96
509	136	516	192	226	123	153	102	272	283	137	137	118
510	82	204	144	131	90	118	91	132	168	151	93	86
511	66	71	108	118	81	127	70	119	140	99	76	73
512	66	113	87	109	98	127	70	115	119	131	83	75
513	72	84	89	119	89	142	65	129	102	120	70	70
514	67	84	119	124	78	109	54	123	126	107	78	78
515	67	111	106	120	91	101	63	112	132	109	74	75
516	62	121	107	93	101	109	66	122	125	125	71	71
517	42	88	113	111	92	126	64	107	149	117	75	64
518	57	94	103	116	96	113	70	97	130	107	59	73
519	73	119	104	111	95	116	73	121	112	108	81	92
520	89	128	116	99	87	119	62	110	146	109	72	60
521	68	130	124	117	70	103	64	133	130	137	78	76
522	45	122	107	104	108	104	64	94	108	106	70	67
523	45	117	103	111	82	102	49	105	111	112	64	77
524	49	90	99	115	98	119	70	92	125	107	69	88
525	52	121	102	119	87	140	53	100	119	112	75	55
526	48	101	96	111	82	124	63	109	150	141	73	98
527	66	69	95	93	89	106	83	86	114	118	73	66
528	46	78	82	82	92	115	48	112	134	108	74	67
529	57	95	80	99	69	119	63	85	112	98	92	72
530	31	80	77	110	104	110	64	87	90	90	65	54
531	46	87	83	86	89	104	52	98	88	85	77	70
532	44	104	87	105	72	118	64	90	94	84	65	43
533	47	82	101	107	91	111	65	95	104	113	76	74
534	72	119	76	117	100	105	60	98	118	119	84	73
535	61	200	115	140	91	101	66	121	166	144	92	76
536	65	239	158	135	94	113	59	146	167	182	77	75
537	43	95	90	95	85	114	67	91	108	116	70	69
538	50	68	109	98	77	111	56	72	93	103	74	75
539	45	91	91	88	90	104	47	110	115	113	46	70
540	42	91	107	94	105	91	55	83	123	154	74	66
541	39	124	108	127	82	100	71	114	129	126	61	62
542	52	103	114	110	88	124	63	113	121	134	66	64
543	52	130	97	102	71	75	49	88	108	112	63	68
544	39	92	91	118	93	104	55	86	98	119	56	56
545	55	114	101	74	63	101	73	104	111	97	46	61
546	53	128	86	99	75	99	60	97	142	112	71	54
547	44	99	99	111	79	111	56	89	102	109	70	60
548	58	101	111	98	94	92	72	83	135	102	63	57
549	43	154	115	105	70	88	65	105	141	130	90	92
550	70	291	172	119	94	102	71	139	217	169	113	82
551	58	184	108	103	82	99	59	96	138	119	78	62
552	60	181	130	104	91	99	52	122	147	128	83	78
553	51	152	133	121	79	91	56	133	177	131	72	62
554	65	203	155	107	90	102	52	142	206	177	80	78
555	95	288	201	156	85	99	73	157	281	221	87	58
556	85	287	212	128	76	123	76	161	264	176	88	67
557	65	329	174	134	94	104	70	147	228	162	110	68
558	89	586	200	151	108	86	72	226	334	249	106	91
559	88	531	213	152	83	117	71	180	337	265	112	84
560	55	262	137	116	104	112	74	141	211	164	86	64
561	60	340	131	116	85	94	67	124	182	176	78	70
562	92	1009	215	166	99	119	79	230	339	259	127	88
563	60	283	139	122	93	108	52	137	194	150	86	95
564	57	290	118	125	90	106	64	137	207	155	81	57
565	119	678	233	164	94	111	78	246	337	267	123	74
566	107	354	217	168	107	87	74	199	275	219	97	63
567	74	199	137	143	101	117	67	135	208	167	91	67
568	93	362	153	126	90	96	71	192	202	152	95	87
569	134	524	182	181	114	127	73	241	261	166	126	95
570	55	198	131	98	93	95	56	130	186	135	60	64
571	54	169	113	109	86	99	47	129	169	116	67	62
572	53	148	110	88	81	97	52	95	128	100	57	66
573	62	290	146	129	94	89	56	121	185	168	92	66
574	66	169	100	106	83	93	64	105	158	120	80	72
575	74	277	142	120	75	100	54	128	208	171	72	62
576	52	172	126	105	71	90	64	112	192	129	62	62
577	69	224	121	123	97	93	77	124	189	147	75	82
578	67	448	254	117	85	95	52	144	261	209	93	63
579	46	200	118	106	82	102	57	105	152	127	64	64
580	81	260	151	121	99	103	76	109	200	182	64	67
581	101	648	242	158	98	121	61	218	342	269	108	84
582	101	422	179	145	84	103	64	199	276	215	89	80
583	72	381	148	138	100	105	67	142	207	153	67	88
584	59	284	120	104	99	122	44	122	147	131	71	52
585	133	1658	284	198	131	144	97	289	450	291	171	96
586	71	242	136	123	97	86	79	138	183	163	63	83
587	71	463	143	140	87	135	68	157	238	143	108	62
588	116	644	219	165	110	100	94	237	279	183	139	82
589	113	334	185	134	110	120	80	195	251	156	131	76
590	95	304	188	169	111	105	78	206	246	166	122	96
591	121	454	216	163	96	105	121	201	317	212	120	90
592	120	559	212	183	121	113	80	267	339	246	142	93
593	61	246	149	126	112	100	56	129	231	131	95	80
594	74	370	152	135	107	108	68	163	203	132	96	83
595	46	104	89	88	76	112	37	103	150	116	62	48
596	41	149	94	104	75	111	57	99	169	110	58	54
597	34	95	106	81	72	79	64	84	129	116	64	61
598	33	90	115	96	80	87	58	84	127	121	64	59
599	42	94	117	107	82	82	77	113	219	144	78	67
600	0	0	0	0	0	0	0	0	0	0	0	0
